Name,Team,Role,International Span,Age,Batting Style,Bowling Style
Jacob Duffy,New Zealand,Bowler, 2020 - 2023,28y 197d,Right hand Bat,Right arm Fast medium
Lockie Ferguson,New Zealand,Bowler, 2016 - 2023,31y 247d,Right hand Bat,Right arm Fast
Martin Guptill,New Zealand,Opening Batter, 2009 - 2022,36y 138d,Right hand Bat,Right arm Offbreak
Matt Henry,New Zealand,Bowler, 2014 - 2023,31y 63d,Right hand Bat,Right arm Fast medium
Kyle Jamieson,New Zealand,Bowler, 2020 - 2022,28y 47d,Right hand Bat,Right arm Fast medium
Tom Latham,New Zealand,Wicketkeeper Batter, 2012 - 2023,30y 319d,Left hand Bat,Right arm Medium
Adam Milne,New Zealand,Bowler, 2010 - 2022,30y 308d,Right hand Bat,Right arm Fast
Daryl Mitchell,New Zealand,Allrounder, 2019 - 2023,31y 271d,Right hand Bat,Right arm Medium
James Neesham,New Zealand,Batting Allrounder, 2012 - 2022,32y 151d,Left hand Bat,Right arm Medium fast
Henry Nicholls,New Zealand,Top order Batter, 2015 - 2023,31y 92d,Left hand Bat,Right arm Offbreak
Glenn Phillips,New Zealand,Wicketkeeper Batter, 2017 - 2023,26y 71d,Right hand Bat,Right arm Offbreak
Mitchell Santner,New Zealand,Bowling Allrounder, 2015 - 2023,31y 10d,Left hand Bat,Slow Left arm Orthodox
Henry Shipley,New Zealand,Bowler, 2023 - 2023,26y 281d,Right hand Bat,Right arm Medium fast
Ish Sodhi,New Zealand,Bowler, 2013 - 2023,30y 107d,Right hand Bat,Legbreak
Tim Southee,New Zealand,Bowler, 2008 - 2023,34y 66d,Right hand Bat,Right arm Medium fast
Ross Taylor,New Zealand,Middle order Batter, 2006 - 2022,38y 344d,Right hand Bat,Right arm Offbreak
Blair Tickner,New Zealand,Bowler, 2019 - 2023,29y 125d,Right hand Bat,Right arm Medium fast
Kane Williamson,New Zealand,Top order Batter, 2010 - 2023,32y 191d,Right hand Bat,Right arm Offbreak
Will Young,New Zealand,Top order Batter, 2019 - 2022,30y 85d,Right hand Bat,Right arm Offbreak
Abdullah Shafique,Pakistan,Top order Batter, 2020 - 2023,23y 87d,Right hand Bat,Right arm Offbreak
Agha Salman,Pakistan,Allrounder, 2022 - 2023,29y 84d,Right hand Bat,Right arm Offbreak
Asif Ali,Pakistan,Middle order Batter, 2018 - 2022,31y 137d,Right hand Bat,Right arm Offbreak
Babar Azam,Pakistan,Batter, 2015 - 2023,28y 123d,Right hand Bat,Right arm Offbreak
Fakhar Zaman,Pakistan,Opening Batter, 2017 - 2023,32y 311d,Left hand Bat,Slow Left arm Orthodox
Haris Rauf,Pakistan,Bowler, 2020 - 2023,29y 100d,Right hand Bat,Right arm Fast
Haris Sohail,Pakistan,Middle order Batter, 2013 - 2023,34y 37d,Left hand Bat,Slow Left arm Orthodox
Hasan Ali,Pakistan,Bowler, 2016 - 2023,28y 228d,Right hand Bat,Right arm Medium fast
Iftikhar Ahmed,Pakistan,Middle order Batter, 2015 - 2022,32y 165d,Right hand Bat,Right arm Offbreak
Imam-ul-Haq,Pakistan,Top order Batter, 2017 - 2023,27y 55d,Left hand Bat,
Kamran Ghulam,Pakistan,Allrounder, 2023 - 2023,27y 128d,Right hand Bat,Slow Left arm Orthodox
Khushdil Shah,Pakistan,Middle order Batter, 2019 - 2022,28y 8d,Left hand Bat,Slow Left arm Orthodox
Mohammad Haris,Pakistan,Middle order Batter, 2022 - 2022,21y 322d,Right hand Bat,Right arm Offbreak
Mohammad Hasnain,Pakistan,Bowler, 2019 - 2023,22y 316d,Right hand Bat,Right arm Fast
Mohammad Nawaz,Pakistan,Allrounder, 2016 - 2023,28y 331d,Left hand Bat,Slow Left arm Orthodox
Mohammad Rizwan,Pakistan,Wicketkeeper Batter, 2015 - 2023,30y 259d,Right hand Bat,
Mohammad Wasim,Pakistan,Allrounder, 2021 - 2023,21y 174d,Right hand Bat,Right arm Fast medium
Naseem Shah,Pakistan,Bowler, 2019 - 2023,20y ,Right hand Bat,Right arm Fast
Saud Shakeel,Pakistan,Middle order Batter, 2021 - 2023,27y 163d,Left hand Bat,Left arm Slow
Shadab Khan,Pakistan,Allrounder, 2017 - 2022,24y 134d,Right hand Bat,Legbreak
Shaheen Shah Afridi,Pakistan,Bowler, 2018 - 2022,22y 315d,Left hand Bat,Left arm Fast
Shahnawaz Dahani,Pakistan,Bowler, 2021 - 2022,24y 194d,Right hand Bat,Right arm Fast medium
Shan Masood,Pakistan,Opening Batter, 2013 - 2023,33y 124d,Left hand Bat,Right arm Medium fast
Usama Mir,Pakistan,Bowler, 2023 - 2023,27y 54d,Right hand Bat,Legbreak
Zahid Mahmood,Pakistan,Bowler, 2021 - 2022,34y 332d,Right hand Bat,Legbreak
Temba Bavuma,South Africa,Middle order Batter, 2014 - 2023,32y 274d,Right hand Bat,Right arm Medium
Quinton de Kock,South Africa,Wicketkeeper Batter, 2012 - 2023,30y 60d,Left hand Bat,
Bjorn Fortuin,South Africa,Bowler, 2019 - 2022,28y 117d,Right hand Bat,Slow Left arm Orthodox
Reeza Hendricks,South Africa,Opening Batter, 2014 - 2023,33y 185d,Right hand Bat,Right arm Offbreak
