Match,Team 1,Team 2,Winner,Margin,Ground,Match Date,Match id
New Zealand vs Zimbabwe,New Zealand,Zimbabwe,New Zealand,48 runs,Napier,"Mar 3, 1992",ODI # 728
India vs Pakistan,India,Pakistan,India,43 runs,Sydney,"Mar 4, 1992",ODI # 729
South Africa vs West Indies,South Africa,West Indies,South Africa,64 runs,Christchurch,"Mar 5, 1992",ODI # 730
Australia vs England,Australia,England,England,8 wickets,Sydney,"Mar 5, 1992",ODI # 731
India vs Zimbabwe,India,Zimbabwe,India,55 runs,Hamilton,"Mar 7, 1992",ODI # 732
Australia vs Sri Lanka,Australia,Sri Lanka,Australia,7 wickets,Adelaide,"Mar 7, 1992",ODI # 733
New Zealand vs West Indies,New Zealand,West Indies,New Zealand,5 wickets,Auckland,"Mar 8, 1992",ODI # 734
Pakistan vs South Africa,Pakistan,South Africa,South Africa,20 runs,Brisbane,"Mar 8, 1992",ODI # 735
England vs Sri Lanka,England,Sri Lanka,England,106 runs,Ballarat,"Mar 9, 1992",ODI # 736
India vs West Indies,India,West Indies,West Indies,5 wickets,Wellington,"Mar 10, 1992",ODI # 737
South Africa vs Zimbabwe,South Africa,Zimbabwe,South Africa,7 wickets,Canberra,"Mar 10, 1992",ODI # 738
Australia vs Pakistan,Australia,Pakistan,Pakistan,48 runs,Perth,"Mar 11, 1992",ODI # 739
New Zealand vs India,New Zealand,India,New Zealand,4 wickets,Dunedin,"Mar 12, 1992",ODI # 740
England vs South Africa,England,South Africa,England,3 wickets,Melbourne,"Mar 12, 1992",ODI # 741
Sri Lanka vs West Indies,Sri Lanka,West Indies,West Indies,91 runs,Berri,"Mar 13, 1992",ODI # 742
Australia vs Zimbabwe,Australia,Zimbabwe,Australia,128 runs,Hobart,"Mar 14, 1992",ODI # 743
New Zealand vs England,New Zealand,England,New Zealand,7 wickets,Wellington,"Mar 15, 1992",ODI # 744
India vs South Africa,India,South Africa,South Africa,6 wickets,Adelaide,"Mar 15, 1992",ODI # 745
Pakistan vs Sri Lanka,Pakistan,Sri Lanka,Pakistan,4 wickets,Perth,"Mar 15, 1992",ODI # 746
New Zealand vs Pakistan,New Zealand,Pakistan,Pakistan,7 wickets,Christchurch,"Mar 18, 1992",ODI # 747
England vs Zimbabwe,England,Zimbabwe,Zimbabwe,9 runs,Albury,"Mar 18, 1992",ODI # 748
Australia vs West Indies,Australia,West Indies,Australia,57 runs,Melbourne,"Mar 18, 1992",ODI # 749
New Zealand vs Pakistan,New Zealand,Pakistan,Pakistan,4 wickets,Auckland,"Mar 21, 1992",ODI # 750
England vs South Africa,England,South Africa,England,19 runs,Sydney,"Mar 22, 1992",ODI # 751
England vs Pakistan,England,Pakistan,Pakistan,22 runs,Melbourne,"Mar 25, 1992",ODI # 752
England vs New Zealand,England,New Zealand,New Zealand,11 runs,Ahmedabad,"Feb 14, 1996",ODI # 1048
South Africa vs U.A.E.,South Africa,U.A.E.,South Africa,169 runs,Rawalpindi,"Feb 16, 1996",ODI # 1049
West Indies vs Zimbabwe,West Indies,Zimbabwe,West Indies,6 wickets,Hyderabad (Deccan),"Feb 16, 1996",ODI # 1050
Netherlands vs New Zealand,Netherlands,New Zealand,New Zealand,119 runs,Vadodara,"Feb 17, 1996",ODI # 1051
Sri Lanka vs Australia,Sri Lanka,Australia,Sri Lanka,,Colombo (RPS),"Feb 17, 1996",ODI # 1051a
India vs Kenya,India,Kenya,India,7 wickets,Cuttack,"Feb 18, 1996",ODI # 1052
England vs U.A.E.,England,U.A.E.,England,8 wickets,Peshawar,"Feb 18, 1996",ODI # 1053
New Zealand vs South Africa,New Zealand,South Africa,South Africa,5 wickets,Faisalabad,"Feb 20, 1996",ODI # 1054
Sri Lanka vs Zimbabwe,Sri Lanka,Zimbabwe,Sri Lanka,6 wickets,Colombo (SSC),"Feb 21, 1996",ODI # 1055
India vs West Indies,India,West Indies,India,5 wickets,Gwalior,"Feb 21, 1996",ODI # 1056
England vs Netherlands,England,Netherlands,England,49 runs,Peshawar,"Feb 22, 1996",ODI # 1057
Australia vs Kenya,Australia,Kenya,Australia,97 runs,Visakhapatnam,"Feb 23, 1996",ODI # 1058
Pakistan vs U.A.E.,Pakistan,U.A.E.,Pakistan,9 wickets,Gujranwala,"Feb 24, 1996",ODI # 1059
Sri Lanka vs West Indies,Sri Lanka,West Indies,Sri Lanka,,Colombo (RPS),"Feb 25, 1996",ODI # 1060a
England vs South Africa,England,South Africa,South Africa,78 runs,Rawalpindi,"Feb 25, 1996",ODI # 1060
Kenya vs Zimbabwe,Kenya,Zimbabwe,no result,,Patna,"Feb 26, 1996",ODI # 1061
Pakistan vs Netherlands,Pakistan,Netherlands,Pakistan,8 wickets,Lahore,"Feb 26, 1996",ODI # 1062
Kenya vs Zimbabwe,Kenya,Zimbabwe,Zimbabwe,5 wickets,Patna,"Feb 27, 1996",ODI # 1063
New Zealand vs U.A.E.,New Zealand,U.A.E.,New Zealand,109 runs,Faisalabad,"Feb 27, 1996",ODI # 1064
India vs Australia,India,Australia,Australia,16 runs,Wankhede,"Feb 27, 1996",ODI # 1065
